Date, Experience, Questions
2012-04-16 03:26:33.127,i applied online and got called up by an hr woman not long after. i had to do a few phone interviews and they all went very well. i m very experienced in what i do and it was soon made clear by my interviewers that they were very impressed and wanted me to get me on board asap. i had to go to their office in sf for a last live interview. the guy that had to interview me was arrogant  didn t listen to me and clearly didn t want to invest too much time or effort. i got the impression i wasn t  cool  enough and the interview was over before i knew it. soon after i got an email that i wouldn t get hired. i am really insulted by their way of hiring people. never before have i seen such unprofessionalism. i guess some people at dropbox are just too young to be making decisions and some people are in the wrong place. tip  know your stuff and then be extravagant  get noticed   develop your cool  before you go. jeans and blue shirt is too common to get accepted. or don t bother at all. they re obviously looking for someone special.,solve a software routine problem   answer question
2015-04-15 07:39:04.647,it was a telephone interview lasting an hour. the questions was mainly on algorithm  and was basically easy to answer. the interviewer was nice  but kind of tired  guess it s because i m interviewing in early saturday morning. at last i didn t get the intern  but it was all my fault. my english is kind of poor.,how do you implement a dictionary tree    answer question
2015-05-09 21:15:05.967,applied through their jobs website  and a recruiter reached out to me to sit an online coding test on hackerrank   had 5 days to complete it. after passing that  i had two phone interviews  but didn t make it past the second one. had very good communication from the recruiters all the way along  and they were very efficient.,implement a function that searches a file system for files with identical contents.   answer question
2014-10-01 21:17:59.707,a friend  who had interviewed with dropbox previously  but no offer  introduced me to the recruiter via email. the recruiter responded about two weeks later and sent me a hackerrank coding question. i didn t think it would be very difficult  since i ve completed hackerrank coding questions previously for other companies with ease. oh  how very naive i was. the question was very difficult  for me at least . it was a pattern matching question which seemed like i was supposed to code up a lexical analyzer in an hour... based on what i ve read on glassdoor  other candidates went straight to either hr screening interviews or technical interviews. i believe i was given an exceptionally hard coding challenge question so that the recruiter could say they gave me a chance but they weren t going to bother with me unless i was extremely smart. it was really just a courtesy coding challenge an they had already decided to reject me. seeing as how i was recommended by a previously rejected candidate  i suppose i should seen their veiled rejection coming  in the form of a coding challenge . i m really disappointed at the dropbox recruiting practice. i ve worked at microsoft before and interviewed at google  facebook  square  twitter  airbnb  pinterest  etc.  and i ve never had this sort of treatment.,question was  given a pattern and a string input   find if the string follows the same pattern and return 0 or 1. examples  1  pattern    abba   input   redblueredblue  should return 1. 2  pattern   aaaa   input   asdasdasdasd  should return 1. 3  pattern   aabb   input   xyzabcxzyabc  should return 0. i saw someone else had a similar question  but it was much much easier as the other candidate was given spaces between words to help identify individual words to pattern match.   7 answers
2015-03-16 01:55:18.453,i applied online. he came to our school to interview me. the interview is 45 minutes. i wrote my code with pencil on paper. after the coding  he asked me to test my code on paper.,find the square root of an integer   answer question
Date, Experience, Questions
2014-01-07 17:29:01.43,great work culture  incredible food too  company is really working on redefining the future and it shines through in the interview process.,how would you redo a specific ui    answer question
2013-01-07 06:43:40.157,i applied for a position through their website. i was contacted soon after by a recruiter who scheduled an interview with one of their newer hires. the interview consisted of questions about my resume  and coding questions. it went on for over an hour. i didn t get a second interview.,design a spell checking algorithm   answer question
2013-11-22 05:31:51.01,i got an initial phone call  and two phone interviews. the engineers are very friendly  they spend 20 minutes discussing with you before asking the question. however when you apply they want things to go very fast  so when they call you  they d like you to have an interview within a week or maximum 2 .,you have a number of meetings  with their start and end times . you need to schedule them using the minimum number of rooms. return the list of meetings in every room.   1 answer design an lru cache. it s a data struct with a capacity. beyond this capacity the least recently used item is removed. you should be able to insert an element  access an element given its key  and delete an element  in constant time. note that when you access an element  even if it s just for a read  it becomes the most recently used.   3 answers
2012-05-16 21:29:35.91,the recruiter called and helped set up a technical interview over the phone. the question is actually easy and a cs student will learn that in their first year in college. however  because it is very easy and very fundamental  any error you made will be fatal  and that is exactly why i failed.,infix   gt  postfix expression conversion and evaluation.   answer question
2012-02-13 21:51:13.323,email inteview for 6 questions  1 2how do you hear about dropbox  why you want to work with us and you plan 3.state a experience about how you solve a technical problem  be specific about the diagnose and process 4.  5 6 problem solve,solve a case about a angry costomer complain on cannot solved technical problem   answer question
2011-11-05 13:16:52.837,the interview was an hour long and two employees watched over me. the whole process felt awkward and poorly prepared. first the interviewers were about 20 minutes late to the interview  and i found it difficult to build a rapport with either interviewer. they did not spend anytime with pleasantries or looking over my resume they dove straight into a skills test.,given a number as a string write a algorithm to map to its oral description. i.e.  1    gt   11    this can be thought of as there is one one.  11    gt   21     there are two ones  21    gt   1211     there is one two and one one  1211    gt   111221  ect.   there is one one  one two and two ones   6 answers given the output from the first question write a algorithm to calculate how many possible inputs could have created that output. for example.  1211  could be interpreted as one two and one one    one hundred and twenty one ones.   6 answers the final question was now given your algorithms compute the complexity of them.   2 answers
2011-10-29 04:55:31.673,they gave me a c   code and asked me to describe what it does,they gave me a c   code and asked me to describe what it does   1 answer
